category,survey_value,survey_label,year,period,period_value,module_code,module_name,csv_code,stata_code,spss_code
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,8,Instituciones Beneficas,,,08-Modulo08
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,9,Mantenimiento de la Vivienda,,,08-Modulo09
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,10,Transportes y Comunicaciones,,,08-Modulo10
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,11,Servicios a la Vivienda,,,08-Modulo11
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,12,"Esparcimiento , Diversion y Servicios de Cultura",,,08-Modulo12
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,13,Vestido y Calzado,,,08-Modulo13
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,14,Otros Gastos en Salud,,,08-Modulo14
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,15,Gastos de Transferencias,,,08-Modulo15
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,16,Muebles y Enseres,,,08-Modulo16
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,17,Otros Bienes y Servicios,,,08-Modulo17
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,18,Equipamiento del Hogar,,,08-Modulo18
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,19,Programas Sociales  (Sólo para el Jefe del Hogar  o Ama de Casa),,,08-Modulo19
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,20,Otras Transacciones  (Sólo para el jefe del hogar),,,08-Modulo20
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,22,Producción Agrícola,,,08-Modulo22
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,23,Subproductos Agricolas,,,08-Modulo23
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,24,Producción Forestal,,,08-Modulo24
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,25,Gastos en Actividades Agricolas y/o Forestales,,,08-Modulo25
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,26,Producción Pecuaria,,,08-Modulo26
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,27,Subproductos Pecuarios,,,08-Modulo27
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,28,Gastos en Actividades Pecuarias,,,08-Modulo28
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,29,Modulo Comunal para Informantes Calificados,,,08-Modulo29
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,30,Relación de Precios en el Area Rural,,,08-Modulo30
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,34,Sumarias ( Variables Calculadas ),,,08-Modulo34
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1998,Trimestre 4,4,38,Actividad Agropecuaria (Por Trabajo Independiente),,,08-Modulo38
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,1,Características de la Vivienda y del Hogar,,,13-Modulo01
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,2,Características de los Miembros del Hogar,,,13-Modulo02
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,3,Educación,,,13-Modulo03
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,4,Salud,,,13-Modulo04
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,5,Empleo e Ingresos,,,13-Modulo05
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,7,Gastos en Alimentos y Bebidas (Módulo 601),,,13-Modulo07
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,8,Instituciones Beneficas,,,13-Modulo08
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,9,Mantenimiento de la Vivienda,,,13-Modulo09
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,10,Transportes y Comunicaciones,,,13-Modulo10
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,11,Servicios a la Vivienda,,,13-Modulo11
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,12,"Esparcimiento , Diversion y Servicios de Cultura",,,13-Modulo12
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,13,Vestido y Calzado,,,13-Modulo13
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,14,Otros Gastos en Salud,,,13-Modulo14
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,15,Gastos de Transferencias,,,13-Modulo15
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,16,Muebles y Enseres,,,13-Modulo16
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,17,Otros Bienes y Servicios,,,13-Modulo17
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,18,Equipamiento del Hogar,,,13-Modulo18
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,19,Programas Sociales  (Sólo para el Jefe del Hogar  o Ama de Casa),,,13-Modulo19
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,20,Otras Transacciones  (Sólo para el jefe del hogar),,,13-Modulo20
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,22,Producción Agrícola,,,13-Modulo22
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,23,Subproductos Agricolas,,,13-Modulo23
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,24,Producción Forestal,,,13-Modulo24
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,25,Gastos en Actividades Agricolas y/o Forestales,,,13-Modulo25
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,26,Producción Pecuaria,,,13-Modulo26
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,27,Subproductos Pecuarios,,,13-Modulo27
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,28,Gastos en Actividades Pecuarias,,,13-Modulo28
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,29,Modulo Comunal para Informantes Calificados,,,13-Modulo29
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,34,Sumarias ( Variables Calculadas ),,,13-Modulo34
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,1999,Trimestre 4,4,38,Actividad Agropecuaria (Por Trabajo Independiente),,,13-Modulo38
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,1,Características de la Vivienda y del Hogar,,,30-Modulo01
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,2,Características de los Miembros del Hogar,,,30-Modulo02
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,3,Educación,,,30-Modulo03
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,4,Salud,,,30-Modulo04
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,5,Empleo e Ingresos,,,30-Modulo05
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,7,Gastos en Alimentos y Bebidas (Módulo 601),,,30-Modulo07
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,8,Instituciones Beneficas,,,30-Modulo08
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,9,Mantenimiento de la Vivienda,,,30-Modulo09
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,10,Transportes y Comunicaciones,,,30-Modulo10
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,11,Servicios a la Vivienda,,,30-Modulo11
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,12,"Esparcimiento , Diversion y Servicios de Cultura",,,30-Modulo12
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,13,Vestido y Calzado,,,30-Modulo13
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,14,Otros Gastos en Salud,,,30-Modulo14
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,15,Gastos de Transferencias,,,30-Modulo15
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,16,Muebles y Enseres,,,30-Modulo16
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,17,Otros Bienes y Servicios,,,30-Modulo17
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,18,Equipamiento del Hogar,,,30-Modulo18
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,19,Programas Sociales  (Sólo para el Jefe del Hogar  o Ama de Casa),,,30-Modulo19
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,20,Otras Transacciones  (Sólo para el jefe del hogar),,,30-Modulo20
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,22,Producción Agrícola,,,30-Modulo22
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,23,Subproductos Agricolas,,,30-Modulo23
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,24,Producción Forestal,,,30-Modulo24
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,25,Gastos en Actividades Agricolas y/o Forestales,,,30-Modulo25
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,26,Producción Pecuaria,,,30-Modulo26
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,27,Subproductos Pecuarios,,,30-Modulo27
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,28,Gastos en Actividades Pecuarias,,,30-Modulo28
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,29,Modulo Comunal para Informantes Calificados,,,30-Modulo29
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,34,Sumarias ( Variables Calculadas ),,,30-Modulo34
ENAHO Anterior,Condiciones de Vida y Pobreza - ENAHO,Condiciones de Vida y Pobreza - ENAHO,2000,Trimestre 4,4,37,Programas Sociales  (Miembros del Hogar),,,30-Modulo37
